"Item name","Qty","Price (USD)","Item link","Note"
"XIAO RP2040","1","3.90","https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html",""
"Cherry MX Switches","8","21.99","https://cherryxtrfy.com/keyboard-switches/cherry-mx-honey-switches/",""
"EC Rotary Encoder","1","1.61","https://simbay.de/product/encoder-with-push-button/",""
"WS2812 RGB Led","8","","",""
"0.91" 128x32 OLED Display","1","","",""
"1N4148 DO-35 Diodes","9","0.94","www.digikey.be/fr/products/detail/onsemi/1N4148/458603",""
"DSA Keycaps","1","","",""
"PCB printing","1","","",""
"M3x13mm","4","","",""
"M3 M3x5x4 Heatset inserts","4","6.25","https://nl.aliexpress.com/item/4000232858343.html?gatewayAdapt=usa2nld4itemAdapt",""
"Case (2 printed parts )","1","","",""
"EC11 Knob ( printed part )","1","","",""
